typeOfEntity	authorizedFormOfName	datesOfExistence	history	blank
Person	La Zerte, Milton Ezra	1885 - 1975	Milton E. LaZert worked as a teacher, principal and school inspector in the Alberta before joining the University as a lecturer in the Department of Philosophy, Psychology and Education (1923-1933). Upon the creation of the School of Education in 1929, he was appointed associate professor and Director of the School. He headed the School of Education under its reorganization as a College (1943) and Faculty (1945) and was named Professor Emeritus upon his retirement as Dean in 1950. He continued to be active in the educational field, as Dean of Educational the University of Winnipeg from 1955 to 1958, and in his work for numerous professional associations. In addition, he held office on Edmonton's City Council (1960-1962) and Public School Board(1962-1971).	
Corporate body	Ladies Work Depository			
Person	Lake, Rob			
Person	Lambert, Paul			
Person	Lamble, Wayne			
Person	Lampard, Robert			
Person	Lang, W.A.			
Person	Lantz, Andrew William			
Person	Laroque, Mrs.			
Person	Lartiga, Ricardo			
Person	Laskowski, Seno			
Person	Lauber, Jean K.			
Person	Laverty, Clarence Alvin	1903 -	Clarence A.Laverty was a student at the University from 1923 to 1928, graduating with BSc in electrical engineering. During the summers of 1923, 1924 and 1925, he worked as a survey crewman for the Topographical Survey Department of the Government of Canada in the Northwest Territories. His narratives and photographs record the surveyors' experiences as they portaged and surveyed throughout northern Alberta and the Mackenzie District of the Northwest Territories.	
Person	Laverty, Doris A.			
Corporate body	Law Library		The Law Library began its first year of operation in its Rutherford Location in the first week of May 1951. Reading room and book and resource arrangement made up the	
Corporate body	Law Students' Association			
Person	Law, Margaret			
Person	Layton, Robert Jr.			
Person	Lazerte, J. Donald			
Person	Lazerte, Milton Ezra			
Person	Leah, Barbara			
Person	Leahey, A. (Evelyn)			
Person	Leahey, Alfred	1900 - 1981	Alfred Lea hey was a lecturer and research assistant with the Department of Soil Science from 1930 to 1936. He subsequently joined the federal Department of Agriculture and held supervisory positions in pedology with Experimental Farm Services Service (1936-1959) and the Research Branch (1959-1966).	
Corporate body	Learned Societies			
Corporate body	Learning Services Enterprises			
Person	Lee, Jean S.			
Person	Leech, Robin			
Corporate body	Legal Resources Centre	1975 -	The Centre was established within the Faculty of Extension to assist Albertans in gaining access to the law by providing educational services in the law and by facilitating the development of a network of such services. Research services and a multiple- media library are among the resources offered.	
Corporate body	Legal Studies Program			
Corporate body	Legal Studies Program, Faculty of Extension		"The Legal Studies Program, established in 1975 within the Department of Extension, engages learners in non-degree legal and justice education opportunities. It is a public legal education organization that has as its mandate ""to engage Albertans and Canadians in lifelong learning about the law that affects their daily lives"". Major components of the program include the following: LawNow (publication and print and electronic resources), public information websites (on a variety of legal topics and issues), and consulting services. In June 2007, the Legal Studies Program set up new offices off campus (201, 10350 - 124 Street), and reclaimed their former title of the Legal Resources Centre. They continue to operate as a non-profit, public legal education organization. Professor Lois Gander, who has been instrumental in the Legal Resource Centre and the Legal Studies Program since their inception, completed the transaction to purchase the Legal Service Program's assets from the University of Alberta for one Canadian dollar."	
Person	Legris, Maurice Roger			
Person	Lehmann, Adolph L.F.			
Person	Leighton, Arthur Crocker	1901 - 1965	Between 1925 and 1929, A.C Leighton was engaged by the Canadian Pacific Railway Company as its chief commercial artist. He painted scenic views of Canada, produced models and paintings of trains and steamships, and designed promotional brochures. With his term over, he settled in Calgary, and from 1929 to 1935 acted as Director of the Art Program at the Provincial Institute of Technology and Art. He was co-founder of the Alberta Society of Artists and establishes a summer art school which eventually became inCorporate bodyd into the Banff School of Fine Arts.	
Person	Leighton, Barbara			
Person	Leitch, Lorne			
Person	Leitch, Lorne C.			
Person	Lemieux, Raymond	1920 June 16 - 2000 July 22	"Professor of Chemistry, Researcher, Entrepreneur -- Dr. Raymond U. Lemieux was born on June 16, 1920 in Lac La Biche, Alberta, Canada. His family moved to Edmonton, Alberta in 1926. He studied chemistry at the University of Alberta and received a BSc with Honours in Chemistry in 1943. He went on to study at McGill University, where he received his PhD in Organic Chemistry in 1946. He won a post-doctoral scholarship at Ohio State University, where Bristol Laboratories Inc. sponsored his research on the structure of streptomycin. He met his future wife, a doctoral student, at Ohio State and they were married in 1948.    In following years, he returned to Canada where he spent two years as an assistant professor at the University of Saskatchewan. Next he served as Senior Research Officer at the National Research Council's Prairie Regional Laboratory in Saskatoon. In 1953 he and a fellow researcher, George Huber, were the first scientists to successfully synthesize sucrose. In 1954, he accepted the position of Dean in the Faculty of Pure and Applied Sciences at the University of Ottawa, where he established their Department of Chemistry. In 1961 he returned to the University of Alberta as a professor in the Chemistry Department and to serve as the Chairman of the Organic Chemistry Division. He developed a method to make synthetic versions of oligosaccharides, which led to improved treatments for leukemia and hemophilia and the development of new antibiotics, blood reagents, and organ anti-rejection drugs. While at the University of Alberta, he established a number of biochemical companies, including R and L Molecular Research Ltd. in 1962, Raylo Chemicals Ltd. in 1966 (which purchased R and L) and Chembiomed in 1977 (which has since been taken over by Synsorb Biotech of Calgary, Alberta.) Prof. Lemieux published an autobiography, entitled ""Explorations with Sugars,"" in 1990. Dr. Raymond Lemieux died of cancer on July 22, 2000.    In 1999, the University of Alberta Faculty of Science and Strathcona County established the Strathcona County/R.U. Lemieux Chair in Carbohydrate Chemistry. In 2001, the University of Alberta renamed the building(s) housing the Department of Chemistry to the Gunning/Lemieux Chemistry Centre to acknowledge the contributions of Profs. Raymond Lemieux and Harry Gunning."	
Person	Leonard, David			
Person	Leonard, Jeremy James			
