Column 1	match-ID-F	score-lc	LC	LC-ID	match_ID	score	LC-C	LC-ID-C	score-c	org	Column 3	Column 4	blank
Putt, Robert C., 1938-	n83136621	100	Putt, Robert C., 1938-	n83136621	n83136621	1	Putt, Robert C., 1938-			Person		http://example.org/1008850#Agent100-10	
Goetschius, George W.	nb2003033565	100	Goetschius, George W	nb2003033565	nb2003033565	0.9523809524	Goetschius, George W			Person		http://example.org/1033568#Agent100-15	
Tash, M. Joan			Tash, M. Joan				Tash, M. Joan			Person		http://example.org/1033568#Agent700-27	
London Young Women's Christian Association	n50071066	99	Young Women's Christian Associations. London				Young Women's Christian Associations. London			Organization		http://example.org/1033568#Agent710-28	
Bolton, Frank G.	n79142980	100	Bolton, Frank G	n79142980	n79142980	0.9375	Bolton, Frank G			Person		http://example.org/1002418#Agent100-17	
Bolton, Susan R.	n86001307	100	Bolton, Susan R	n86001307	n86001307	0.9375	Bolton, Susan R			Person		http://example.org/1002418#Agent700-29	
Matthews, Joan Ethel			Matthews, Joan Ethel				Matthews, Joan Ethel			Person		http://example.org/1033234#Agent100-11	
Thomas, Cyrus, 1825-1910	n80109870	100	Thomas, Cyrus, 1825-1910	n80109870	n80109870	1	Thomas, Cyrus, 1825-1910			Person		http://example.org/1072219#Agent100-11	
Reinhardt, Richard	n79045515	100	Reinhardt, Richard				Reinhardt, Richard			Person		http://example.org/1007864#Agent100-14	
Tregebov, Rhea, 1953-	n88655506	100	Tregebov, Rhea, 1953-	n88655506	n88655506	0.84	Tregebov, Rhea, 1953-			Person		http://example.org/1000429#Agent700-25	
Conference on Work in the Lives of Married Women, Columbia University, 1957			Conference on Work in the Lives of Married Women, Columbia University, 1957				Conference on Work in the Lives of Married Women, Columbia University, 1957			Meeting		http://example.org/104270#Agent111-11	
National Manpower Council	nr93050176	93	National Manpower Council				National Manpower Council			Organization		http://example.org/104270#Agent710-22	
Levitan, Sar A.	n79056711	100	Levitan, Sar A	n79056711	n79056711	0.9333333333	Levitan, Sar A			Person		http://example.org/1024749#Agent100-17	
Johnston, William B., 1945-	n50040326	100	Johnston, William B., 1945-	n50040326	n50040326	1	Johnston, William B., 1945-			Person		http://example.org/1024749#Agent700-31	
Morrison, Richard J.	n84031507	100	Morrison, Richard J				Morrison, Richard J			Person		http://example.org/1014375#Agent100-10	
Whitmore, Dennis Ainsworth	n50019875	100	Whitmore, Dennis Ainsworth	n50019875	n50019875	1	Whitmore, Dennis Ainsworth			Person		http://example.org/102012#Agent100-10	
Institute of Practitioners in Work Study, Organisation and Methods	n85055837	90	Institute of Practitioners in Work Study, Organisation and Methods				Institute of Practitioners in Work Study, Organisation and Methods			Organization		http://example.org/102012#Agent710-22	
Council of State Governments	n79054954	100	Council of State Governments		n79054954		Council of State Governments	n79054954	0.9655172414	Organization		http://example.org/1076582#Agent110-10	
Council of State Governments. Committee of State Officials on Suggested State Legislation	n83074402	100	Council of State Governments. Committee of State Officials on Suggested State Legislation		n83074402		Council of State Governments. Committee of State Officials on Suggested State Legislation	n83074402	1	Organization		http://example.org/1076582#Agent710-21	
Singleton, Evelyn Ellen, 1909-	no2003025553	100	Singleton, Evelyn Ellen, 1909-	no2003025553	no2003025553	1	Singleton, Evelyn Ellen, 1909-			Person		http://example.org/1003153#Agent100-11	
Staley, Eugene, 1906-1989	n50037219	100	Staley, Eugene, 1906-1989	n50037219	n50037219	1	Staley, Eugene, 1906-1989			Person		http://example.org/1048040#Agent100-11	
Rein, Mildred	n82028204	100	Rein, Mildred	n82028204	n82028204	1	Rein, Mildred			Person		http://example.org/1074393#Agent100-12	
Maurer, John G., 1937-	n96036120	100	Maurer, John G., 1937-	n96036120	n96036120	1	Maurer, John G., 1937-			Person		http://example.org/1012429#Agent100-11	
Kohan, C. M.	no2008038249	100	Kohan, C. M	no2008038249	no2008038249	0.8181818182	Kohan, C. M			Person		http://example.org/1004059#Agent100-11	
Reid, Mary Lillian			Reid, Mary Lillian				Reid, Mary Lillian			Person		http://example.org/1012634#Agent100-10	
Bay, Juanita E			Bay, Juanita E				Bay, Juanita E			Person		http://example.org/1013670#Agent100-9	
Hansell, Sven Hostrup	no93020163	100	Hansell, Sven Hostrup	no93020163	no93020163	1	Hansell, Sven Hostrup			Person		http://example.org/1082012#Agent100-12	
Hasse, Johann Adolf, 1699-1783	n80053117	100	Hasse, Johann Adolf, 1699-1783	n80053117	n80053117	1	Hasse, Johann Adolf, 1699-1783			Person		http://example.org/1082012#Agent600-21	
Textile Museum (Washington, D.C.)	n79065127	100	Textile Museum (Washington, D.C.)		n79065127		Textile Museum (Washington, D.C.)	n79065127	0.9090909091	Organization		http://example.org/1027196#Agent110-9	
Hasluck, Paul	n50027445	86	Hasluck, Paul				Hasluck, Paul			Person		http://example.org/1054944#Agent100-10	
United Nations. Security Council	n80076467	100	United Nations. Security Council		n80076467		United Nations. Security Council	n80076467	1	Organization		http://example.org/1054944#Agent610-18	
Raspé, Gerhard, 1928-	n50053985	97	Raspé, Gerhard, 1928-				Raspé, Gerhard, 1928-			Person		http://example.org/1004579#Agent100-11	
Raspé, G., 1928-			Raspé, G., 1928-				Raspé, G., 1928-			Person		http://example.org/1004579#Agent700-23	
Schering AG	n50026411	100	Schering AG		n50026411		Schering AG	n50026411	0.9166666667	Organization		http://example.org/1004579#Agent710-24	
Willett, T. C.	n87844701	100	Willett, T. C	n87844701	n87844701	0.8461538462	Willett, T. C			Person		http://example.org/1013906#Agent700-21	
University of Toronto. Centre of Criminology	n81095150	100	University of Toronto. Centre of Criminology		n81095150		University of Toronto. Centre of Criminology	n81095150	1	Organization		http://example.org/1013906#Agent710-22	
Hanson, Doris Elizabeth			Hanson, Doris Elizabeth				Hanson, Doris Elizabeth			Person		http://example.org/1071487#Agent100-9	
Schering Workshop on Virus-Cell Interactions, Berlin, 1973			Schering Workshop on Virus-Cell Interactions, Berlin, 1973				Schering Workshop on Virus-Cell Interactions, Berlin, 1973			Meeting		http://example.org/1039795#Agent111-11	
Raspé, Gerhard, 1928-	n50053985	97	Raspé, Gerhard, 1928-				Raspé, Gerhard, 1928-			Person		http://example.org/1039795#Agent700-25	
Workshop on Conservation in Camping, Martinsville, Ind., 1968			Workshop on Conservation in Camping, Martinsville, Ind., 1968				Workshop on Conservation in Camping, Martinsville, Ind., 1968			Meeting		http://example.org/1026920#Agent111-9	
American Camping Association	n79053025	100	American Camping Association		n79053025		American Camping Association	n79053025	1	Organization		http://example.org/1026920#Agent710-23	
O'Rourke, Mary A	no99046719	88	O'Rourke, Mary A				O'Rourke, Mary A			Person		http://example.org/1066437#Agent100-10	
Burton, William Henry, 1890- 			Burton, William Henry, 1890- 				Burton, William Henry, 1890- 			Person		http://example.org/1066437#Agent700-19	
Nelson, Nathan	n94100412	100	Nelson, Nathan	n94100412	n94100412	1	Nelson, Nathan			Person		http://example.org/1006271#Agent100-11	
Siegmeister, Elie, 1909-1991	n79116015	100	Siegmeister, Elie, 1909-1991	n79116015	n79116015	1	Siegmeister, Elie, 1909-1991			Person		http://example.org/1044278#Agent100-11	
Adam, R. B. (Robert Borthwick), 1863-1940	nr92008070	100	Adam, R. B. (Robert Borthwick), 1863-1940	nr92008070	nr92008070	1	Adam, R. B. (Robert Borthwick), 1863-1940			Person		http://example.org/104937#Agent100-9	
Hogg, James, 1770-1835	n80062998	100	Hogg, James, 1770-1835	n80062998	n80062998	1	Hogg, James, 1770-1835			Person		http://example.org/104937#Agent600-18	
Hogg, James, 1770-1835	n80062998	100	Hogg, James, 1770-1835	n80062998	n80062998	1	Hogg, James, 1770-1835			Person		http://example.org/104937#Agent700-19	
Waagen, Gustav Friedrich, 1794-1868	n84057198	100	Waagen, Gustav Friedrich, 1794-1868	n84057198	n84057198	1	Waagen, Gustav Friedrich, 1794-1868			Person		http://example.org/1077480#Agent100-16	
Worksop College, England			Worksop College, England				Worksop College, England			Organization		http://example.org/107722#Agent610-18	
Lawlor, Alan	n85023688	100	Lawlor, Alan	n85023688	n85023688	1	Lawlor, Alan			Person		http://example.org/1004262#Agent100-10	
Institution of Works Managers	n81118439	100	Institution of Works Managers		n81118439		Institution of Works Managers	n81118439	1	Organization		http://example.org/1004262#Agent710-20	
Maistre, Joseph Marie, comte de, 1753-1821	n50039480	100	Maistre, Joseph Marie, comte de, 1753-1821	n50039480	n50039480	0.9761904762	Maistre, Joseph Marie, comte de, 1753-1821			Person		http://example.org/1040775#Agent100-14	
Lively, Jack	n50050173	100	Lively, Jack	n50050173	n50050173	1	Lively, Jack			Person		http://example.org/1040775#Agent700-21	
Staggered Working Hours Project of the City of New York	no96060998	100	Staggered Working Hours Project of the City of New York		no96060998		Staggered Working Hours Project of the City of New York	no96060998	1	Organization		http://example.org/1006226#Agent110-12	
Cohen, Lawrence Berel, 1916-	no96060999	82	Cohen, Lawrence Berel, 1916-				Cohen, Lawrence Berel, 1916-			Person		http://example.org/1006226#Agent700-23	
O'Shaughnessy, John	n2001021950	95	O'Shaughnessy, John	n2001021950	n2001021950	0.8636363636	O'Shaughnessy, John			Person		http://example.org/1011826#Agent100-10	
British Institute of Management	n80036776	100	British Institute of Management		n80036776		British Institute of Management	n80036776	0.9677419355	Organization		http://example.org/1011826#Agent710-20	
Williams, Aubrey Willis, 1890-1965	n81146516	100	Williams, Aubrey Willis, 1890-1965	n81146516	n81146516	1	Williams, Aubrey Willis, 1890-1965			Person		http://example.org/1059458#Agent100-10	
Clark, F. Le Gros (Frederick Le Gros), 1892-1977	n80005243	100	Clark, F. Le Gros (Frederick Le Gros), 1892-1977	n80005243	n80005243	1	Clark, F. Le Gros (Frederick Le Gros), 1892-1977			Person		http://example.org/1000349#Agent100-11	
Herman, Melvin	n50029487	100	Herman, Melvin	n50029487	n50029487	1	Herman, Melvin			Person		http://example.org/105259#Agent100-12	
Sadofsky, Stanley	no2009180899	100	Sadofsky, Stanley	no2009180899	no2009180899	1	Sadofsky, Stanley			Person		http://example.org/105259#Agent700-21	
Rosenberg, Bernard, 1923-1996	n79091917	100	Rosenberg, Bernard, 1923-1996	n79091917	n79091917	1	Rosenberg, Bernard, 1923-1996			Person		http://example.org/105259#Agent700-22	
Stevenson, Gil	n50022619	100	Stevenson, Gil	n50022619	n50022619	1	Stevenson, Gil			Person		http://example.org/1088883#Agent100-12	
Donat, John, 1933-2004	n91076630	100	Donat, John, 1933-2004	n91076630	n91076630	1	Donat, John, 1933-2004			Person		http://example.org/1080412#Agent100-10	
J.M. Dent &amp; Sons (Canada)			J.M. Dent &amp; Sons (Canada)				J.M. Dent &amp; Sons (Canada)			Organization		http://example.org/1053530#Agent110-10	
John Bartholomew and Son	n80044895	100	John Bartholomew and Son		n80044895		John Bartholomew and Son	n80044895	0.96	Organization		http://example.org/1053530#Agent710-21	
Westgate, J. A.	n90707659	100	Westgate, J. A	n90707659	n90707659	0.9333333333	Westgate, J. A			Person		http://example.org/1071521#Agent100-10	
Gold, Christopher M., 1944- 			Gold, Christopher M., 1944- 				Gold, Christopher M., 1944- 			Person		http://example.org/1071521#Agent700-23	
Wells, H. G. (Herbert George), 1866-1946	n79063613	100	Wells, H. G. (Herbert George), 1866-1946	n79063613	n79063613	0.975	Wells, H. G. (Herbert George), 1866-1946			Person		http://example.org/1022638#Agent100-10	
Eisler, Paul E., 1922-1978	n80125114	100	Eisler, Paul E., 1922-1978	n80125114	n80125114	1	Eisler, Paul E., 1922-1978			Person		http://example.org/1040902#Agent100-11	
Wernstedt, Frederick L.	n50007984	100	Wernstedt, Frederick L	n50007984	n50007984	0.9565217391	Wernstedt, Frederick L			Person		http://example.org/1025855#Agent100-10	
Lockwood, John George	n79026732	100	Lockwood, John George	n79026732	n79026732	0.9545454545	Lockwood, John George			Person		http://example.org/1023123#Agent100-10	
Löwenthal, Richard, 1908-1991	n50043498	98	Löwenthal, Richard, 1908-1991	n50043498	n50043498	1	Löwenthal, Richard, 1908-1991			Person		http://example.org/1037586#Agent100-14	
Breitner, Thomas			Breitner, Thomas				Breitner, Thomas			Person		http://example.org/1054742#Agent100-10	
Mazrui, Ali AlʼAmin	n50078536	100	Mazrui, Ali AlʼAmin	n50078536	n50078536	0.9473684211	Mazrui, Ali AlʼAmin			Person		http://example.org/1037706#Agent100-12	
Castel, Hélène	no96062033	92	Castel, Hélène	no96062033	no96062033	1	Castel, Hélène			Person		http://example.org/1028469#Agent100-14	
Wilson, William K			Wilson, William K				Wilson, William K			Person		http://example.org/1010574#Agent100-13	
Dowd, Morgan D	n89649763	84	Dowd, Morgan D				Dowd, Morgan D			Person		http://example.org/1010574#Agent700-24	
Sholtys, Phyllis A.	nr95009263	100	Sholtys, Phyllis A	nr95009263	nr95009263	0.9473684211	Sholtys, Phyllis A			Person		http://example.org/1010574#Agent700-25	
Mordy, Wendell A., 1920- 	nr95009261	89	Mordy, Wendell A., 1920- 	nr95009261	nr95009261	0.8571428571	Mordy, Wendell A., 1920- 			Person		http://example.org/1010574#Agent700-26	
Myers, Denys P. (Denys Peter), 1884-	n85273740	100	Myers, Denys P. (Denys Peter), 1884-	n85273740	n85273740	1	Myers, Denys P. (Denys Peter), 1884-			Person		http://example.org/1055242#Agent100-10	
Conference for the reduction and limitation of armament, Geneva, 1932	n85182547	88	Conference for the reduction and limitation of armament, Geneva, 1932				Conference for the reduction and limitation of armament, Geneva, 1932			Meeting		http://example.org/1055242#Agent611-18	
World Peace Foundation	n79074496	100	World Peace Foundation		n79074496		World Peace Foundation	n79074496	0.9090909091	Organization		http://example.org/1055242#Agent710-20	
N.P.C. Disarmament Commission (Great Britain)	n87837646	100	N.P.C. Disarmament Commission (Great Britain)		n87837646		N.P.C. Disarmament Commission (Great Britain)	n87837646	1	Organization		http://example.org/1055247#Agent110-10	
Highsmith, Richard Morgan, 1920-1995	n50034848	87	Highsmith, Richard Morgan, 1920-1995				Highsmith, Richard Morgan, 1920-1995			Person		http://example.org/1007603#Agent100-13	
Northam, Ray M.	n2014078723	100	Northam, Ray M	n2014078723	n2014078723	0.9333333333	Northam, Ray M			Person		http://example.org/1007603#Agent700-23	
White, C. Langdon (Charles Langdon), 1897-	n84216149	100	White, C. Langdon (Charles Langdon), 1897-	n84216149	n84216149	1	White, C. Langdon (Charles Langdon), 1897-			Person		http://example.org/1008050#Agent100-11	
Hickman, C. Addison (Charles Addison), 1916-	no95040861	100	Hickman, C. Addison (Charles Addison), 1916-	no95040861	no95040861	1	Hickman, C. Addison (Charles Addison), 1916-			Person		http://example.org/101766#Agent100-9	
Middle East Institute (Washington, D.C.)	n50049398	100	Middle East Institute (Washington, D.C.)		n50049398		Middle East Institute (Washington, D.C.)	n50049398	0.975	Organization		http://example.org/1065155#Agent110-11	
Neale, Oscar W. (Oscar Winfred), 1873-	nr99038160	100	Neale, Oscar W. (Oscar Winfred), 1873-	nr99038160	nr99038160	1	Neale, Oscar W. (Oscar Winfred), 1873-			Person		http://example.org/1086474#Agent100-10	
Newfang, Oscar, 1875-1943	no2013026385	100	Newfang, Oscar, 1875-1943	no2013026385	no2013026385	1	Newfang, Oscar, 1875-1943			Person		http://example.org/1053858#Agent100-10	
League of Nations	n79110921	100	League of Nations		n79110921		League of Nations	n79110921	0.9444444444	Organization		http://example.org/1053858#Agent610-18	
Gault, Pierre	n84222290	100	Gault, Pierre	n84222290	n84222290	1	Gault, Pierre			Person		http://example.org/1053858#Agent700-21	
British Sulphur Corporation, ltd.	n50052528	100	British Sulphur Corporation, ltd		n50052528		British Sulphur Corporation, ltd	n50052528	0.9696969697	Organization		http://example.org/1017154#Agent710-19	
Sobel, Lester A.	n78086020	100	Sobel, Lester A	n78086020	n78086020	0.9375	Sobel, Lester A			Person		http://example.org/102990#Agent700-21	
Facts on File, Inc.	n79022224	100	Facts on File, Inc		n79022224		Facts on File, Inc	n79022224	0.8947368421	Organization		http://example.org/102990#Agent710-22	
Olcott, Margaret Thompson, 1892-			Olcott, Margaret Thompson, 1892-				Olcott, Margaret Thompson, 1892-			Person		http://example.org/1002297#Agent100-10	
